"Privato/Pubblico";"Regione";"Codice edificio";"DO_Y";"DO_X";"Agibilità";"Provincia";"Codice ISTAT";"ID";"X Gauss-Boaga";"gid";"Y Gauss-Boaga";"Comune";
"privato";"Toscana";"AULL_0033_00480";"44.1933059316626";"10.033884523455";"C";"MASSA-CARRARA";"9450001";"1";"1582650";"1";"4893880";"Aulla";
"privato";"Toscana";"AULL_0033_00684";"44.1933959473148";"10.0338860968606";"E";"MASSA-CARRARA";"9450001";"2";"1582650";"2";"4893890";"Aulla";
"privato";"Toscana";"AULL_0033_00257";"44.1927907086524";"10.0311226256075";"A";"MASSA-CARRARA";"9450001";"3";"1582430";"3";"4893820";"Aulla";
"privato";"Toscana";"AULL_0033_00256";"44.192791837574";"10.0309975138157";"E";"MASSA-CARRARA";"9450001";"4";"1582420";"4";"4893820";"Aulla";
"privato";"Toscana";"AULL_0033_00261";"44.1926095481191";"10.0312445986866";"E";"MASSA-CARRARA";"9450001";"5";"1582440";"5";"4893800";"Aulla";
"privato";"Toscana";"CASO_0022_00597";"44.1931853003054";"10.1501302564668";"A";"MASSA-CARRARA";"9450004";"6";"1591940";"6";"4893990";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0029_00047";"44.1903086871578";"10.1496989450742";"A";"MASSA-CARRARA";"9450004";"7";"1591910";"7";"4893670";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0022_00064";"44.2030740253982";"10.151574128667";"A";"MASSA-CARRARA";"9450004";"8";"1592040";"8";"4895090";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0029_00040";"44.1904037334722";"10.1492002873507";"E";"MASSA-CARRARA";"9450004";"9";"1591870";"9";"4893680";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0029_00067";"44.1902199336493";"10.1495720941574";"E";"MASSA-CARRARA";"9450004";"10";"1591900";"10";"4893660";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0022_00063";"44.2028977842173";"10.1511952379193";"A";"MASSA-CARRARA";"9450004";"11";"1592010";"11";"4895070";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0029_133+";"44.190116068011";"10.1509464578819";"A";"MASSA-CARRARA";"9450004";"12";"1592010";"12";"4893650";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0024_00480";"44.1995053817301";"10.1749068418491";"A";"MASSA-CARRARA";"9450004";"13";"1593910";"13";"4894720";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0024_00496";"44.1993266457029";"10.1747781454132";"A";"MASSA-CARRARA";"9450004";"14";"1593900";"14";"4894700";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0029_544+";"44.1821482828761";"10.155420483958";"A";"MASSA-CARRARA";"9450004";"15";"1592380";"15";"4892770";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0029_30+";"44.1907524525058";"10.1503332053684";"A";"MASSA-CARRARA";"9450004";"16";"1591960";"16";"4893720";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0022_00159";"44.2016628020851";"10.1486681912065";"B";"MASSA-CARRARA";"9450004";"17";"1591810";"17";"4894930";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0015_00425";"44.2109298935213";"10.1845216314947";"C";"MASSA-CARRARA";"9450004";"18";"1594660";"18";"4896000";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0018_00130";"44.2240804661232";"10.2096995690215";"E";"MASSA-CARRARA";"9450004";"19";"1596650";"19";"4897490";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0029_00534";"44.1825983437338";"10.1554292726268";"E";"MASSA-CARRARA";"9450004";"20";"1592380";"20";"4892820";"Casola in Lunigiana";
