"Dal 1982 al 1991";"Dal 1991 al 2001";"Provincia";"Comune";"Post 2001";"Dal 1946 al 1961";"Dal 1919 al 1945";"Ante 1919";"Dal 1962 al 1971";"Regione";"Dal 1972 al 1981";
0;2;"MASSA-CARRARA";"Aulla";2;0;1;4;2;"Toscana";1;
0;0;"MASSA-CARRARA";"Bagnone";0;0;0;0;0;"Toscana";0;
0;0;"MASSA-CARRARA";"Carrara";0;0;0;0;0;"Toscana";0;
145;104;"MASSA-CARRARA";"Casola in Lunigiana";107;53;135;532;94;"Toscana";171;
0;0;"MASSA-CARRARA";"Comano";0;0;0;0;0;"Toscana";0;
0;0;"MASSA-CARRARA";"Filattiera";0;0;0;0;0;"Toscana";0;
231;212;"MASSA-CARRARA";"Fivizzano";129;168;315;775;191;"Toscana";226;
5;5;"MASSA-CARRARA";"Fosdinovo";5;5;3;49;7;"Toscana";5;
0;2;"MASSA-CARRARA";"Licciana Nardi";1;2;2;4;0;"Toscana";0;
0;0;"MASSA-CARRARA";"Massa";0;0;0;0;0;"Toscana";0;
0;1;"MASSA-CARRARA";"Mulazzo";1;1;2;1;0;"Toscana";0;
0;0;"MASSA-CARRARA";"Pontremoli";0;0;0;0;0;"Toscana";0;
0;0;"MASSA-CARRARA";"Tresana";0;0;0;0;0;"Toscana";0;
0;0;"MASSA-CARRARA";"Villafranca in Lunigiana";0;0;0;0;0;"Toscana";0;
0;0;"LUCCA";"Bagni di Lucca";0;0;0;0;0;"Toscana";0;
0;0;"LUCCA";"Barga";0;0;0;0;0;"Toscana";0;
0;0;"LUCCA";"Borgo a Mozzano";0;0;0;0;0;"Toscana";0;
1;3;"LUCCA";"Camporgiano";2;1;2;6;1;"Toscana";1;
3;2;"LUCCA";"Careggine";4;0;1;11;0;"Toscana";0;
0;1;"LUCCA";"Castelnuovo di Garfagnana";2;1;2;3;0;"Toscana";2;
0;0;"LUCCA";"Castiglione di Garfagnana";0;0;0;1;0;"Toscana";0;
0;0;"LUCCA";"Coreglia Antelminelli";0;0;0;0;0;"Toscana";0;
0;0;"LUCCA";"Fabbriche di Vallico";0;0;0;0;0;"Toscana";0;
0;0;"LUCCA";"Fosciandora";0;0;1;3;0;"Toscana";0;
1;2;"LUCCA";"Gallicano";2;1;1;10;1;"Toscana";0;
4;5;"LUCCA";"Giuncugnano";12;7;32;58;14;"Toscana";14;
60;29;"LUCCA";"Minucciano";40;70;58;176;54;"Toscana";53;
0;0;"LUCCA";"Molazzana";0;0;0;0;0;"Toscana";0;
0;0;"LUCCA";"Pescaglia";0;0;0;0;0;"Toscana";0;
9;4;"LUCCA";"Piazza al Serchio";4;7;16;47;5;"Toscana";13;
0;0;"LUCCA";"Pieve Fosciana";0;0;0;0;0;"Toscana";0;
5;0;"LUCCA";"San Romano in Garfagnana";2;0;2;5;0;"Toscana";0;
17;14;"LUCCA";"Sillano";8;9;26;88;4;"Toscana";23;
0;0;"LUCCA";"Stazzema";0;0;0;0;0;"Toscana";0;
0;2;"LUCCA";"Vagli Sotto";2;0;1;5;1;"Toscana";5;
0;0;"LUCCA";"Vergemoli";0;0;0;0;0;"Toscana";0;
0;0;"LUCCA";"Villa Collemandina";0;0;2;4;0;"Toscana";1;
