"Dal 1982 al 1991";"Dal 1991 al 2001";"Provincia";"Comune";"Post 2001";"Dal 1946 al 1961";"Dal 1919 al 1945";"Ante 1919";"Dal 1962 al 1971";"Regione";"Dal 1972 al 1981";
0;1;"MASSA-CARRARA";"Aulla";1;0;1;2;2;"Toscana";1;
0;0;"MASSA-CARRARA";"Bagnone";0;0;0;0;0;"Toscana";0;
0;0;"MASSA-CARRARA";"Carrara";0;0;0;0;0;"Toscana";0;
65;42;"MASSA-CARRARA";"Casola in Lunigiana";43;20;64;318;38;"Toscana";78;
0;0;"MASSA-CARRARA";"Comano";0;0;0;0;0;"Toscana";0;
0;0;"MASSA-CARRARA";"Filattiera";0;0;0;0;0;"Toscana";0;
62;67;"MASSA-CARRARA";"Fivizzano";45;67;146;361;70;"Toscana";69;
1;0;"MASSA-CARRARA";"Fosdinovo";0;1;0;21;2;"Toscana";2;
0;0;"MASSA-CARRARA";"Licciana Nardi";0;1;2;0;0;"Toscana";0;
0;0;"MASSA-CARRARA";"Massa";0;0;0;0;0;"Toscana";0;
0;0;"MASSA-CARRARA";"Mulazzo";1;1;2;0;0;"Toscana";0;
0;0;"MASSA-CARRARA";"Pontremoli";0;0;0;0;0;"Toscana";0;
0;0;"MASSA-CARRARA";"Tresana";0;0;0;0;0;"Toscana";0;
0;0;"MASSA-CARRARA";"Villafranca in Lunigiana";0;0;0;0;0;"Toscana";0;
0;0;"LUCCA";"Bagni di Lucca";0;0;0;0;0;"Toscana";0;
0;0;"LUCCA";"Barga";0;0;0;0;0;"Toscana";0;
0;0;"LUCCA";"Borgo a Mozzano";0;0;0;0;0;"Toscana";0;
0;0;"LUCCA";"Camporgiano";0;1;0;1;0;"Toscana";1;
0;2;"LUCCA";"Careggine";1;0;1;6;0;"Toscana";0;
0;0;"LUCCA";"Castelnuovo di Garfagnana";1;1;2;1;0;"Toscana";0;
0;0;"LUCCA";"Castiglione di Garfagnana";0;0;0;0;0;"Toscana";0;
0;0;"LUCCA";"Coreglia Antelminelli";0;0;0;0;0;"Toscana";0;
0;0;"LUCCA";"Fabbriche di Vallico";0;0;0;0;0;"Toscana";0;
0;0;"LUCCA";"Fosciandora";0;0;1;2;0;"Toscana";0;
1;1;"LUCCA";"Gallicano";1;1;1;8;1;"Toscana";0;
2;1;"LUCCA";"Giuncugnano";2;2;6;20;1;"Toscana";2;
7;9;"LUCCA";"Minucciano";13;30;18;73;15;"Toscana";9;
0;0;"LUCCA";"Molazzana";0;0;0;0;0;"Toscana";0;
0;0;"LUCCA";"Pescaglia";0;0;0;0;0;"Toscana";0;
0;0;"LUCCA";"Piazza al Serchio";1;4;4;12;0;"Toscana";1;
0;0;"LUCCA";"Pieve Fosciana";0;0;0;0;0;"Toscana";0;
0;0;"LUCCA";"San Romano in Garfagnana";1;0;0;3;0;"Toscana";0;
1;2;"LUCCA";"Sillano";0;0;9;27;0;"Toscana";5;
0;0;"LUCCA";"Stazzema";0;0;0;0;0;"Toscana";0;
0;0;"LUCCA";"Vagli Sotto";1;0;0;2;0;"Toscana";0;
0;0;"LUCCA";"Vergemoli";0;0;0;0;0;"Toscana";0;
0;0;"LUCCA";"Villa Collemandina";0;0;2;4;0;"Toscana";1;
