"Provincia";"Comune";"Non utilizzato";"Dato non disponibile";"Non finito";"In costruzione";"Oltre 65%";"Abbandonato";"Meno del 30%";"Tra 30 e 65%";"Regione";
"MASSA-CARRARA";"Aulla";0;0;0;0;4;0;2;0;"Toscana";
"MASSA-CARRARA";"Bagnone";0;0;0;0;0;0;0;0;"Toscana";
"MASSA-CARRARA";"Carrara";0;0;0;0;0;0;0;0;"Toscana";
"MASSA-CARRARA";"Casola in Lunigiana";35;28;4;3;162;16;139;47;"Toscana";
"MASSA-CARRARA";"Comano";0;0;0;0;0;0;0;0;"Toscana";
"MASSA-CARRARA";"Filattiera";0;0;0;0;0;0;0;0;"Toscana";
"MASSA-CARRARA";"Fivizzano";96;47;2;6;223;48;143;69;"Toscana";
"MASSA-CARRARA";"Fosdinovo";7;0;0;0;12;0;2;2;"Toscana";
"MASSA-CARRARA";"Licciana Nardi";0;0;0;0;2;0;1;0;"Toscana";
"MASSA-CARRARA";"Massa";0;0;0;0;0;0;0;0;"Toscana";
"MASSA-CARRARA";"Mulazzo";0;0;0;0;2;0;0;0;"Toscana";
"MASSA-CARRARA";"Pontremoli";0;0;0;0;0;0;0;0;"Toscana";
"MASSA-CARRARA";"Tresana";0;0;0;0;0;0;0;0;"Toscana";
"MASSA-CARRARA";"Villafranca in Lunigiana";0;0;0;0;0;0;0;0;"Toscana";
"LUCCA";"Bagni di Lucca";0;0;0;0;0;0;0;0;"Toscana";
"LUCCA";"Barga";0;0;0;0;0;0;0;0;"Toscana";
"LUCCA";"Borgo a Mozzano";0;0;0;0;0;0;0;0;"Toscana";
"LUCCA";"Camporgiano";0;0;0;0;2;0;0;0;"Toscana";
"LUCCA";"Careggine";4;0;0;0;2;1;0;0;"Toscana";
"LUCCA";"Castelnuovo di Garfagnana";2;1;0;0;2;0;0;0;"Toscana";
"LUCCA";"Castiglione di Garfagnana";0;0;0;0;0;0;0;0;"Toscana";
"LUCCA";"Coreglia Antelminelli";0;0;0;0;0;0;0;0;"Toscana";
"LUCCA";"Fabbriche di Vallico";0;0;0;0;0;0;0;0;"Toscana";
"LUCCA";"Fosciandora";0;0;0;0;2;0;0;0;"Toscana";
"LUCCA";"Gallicano";1;1;0;0;2;3;2;0;"Toscana";
"LUCCA";"Giuncugnano";7;0;1;0;8;4;7;2;"Toscana";
"LUCCA";"Minucciano";24;4;1;0;52;2;37;4;"Toscana";
"LUCCA";"Molazzana";0;0;0;0;0;0;0;0;"Toscana";
"LUCCA";"Pescaglia";0;0;0;0;0;0;0;0;"Toscana";
"LUCCA";"Piazza al Serchio";1;2;0;0;12;2;0;0;"Toscana";
"LUCCA";"Pieve Fosciana";0;0;0;0;0;0;0;0;"Toscana";
"LUCCA";"San Romano in Garfagnana";0;0;0;0;1;2;0;0;"Toscana";
"LUCCA";"Sillano";12;0;0;0;11;3;5;4;"Toscana";
"LUCCA";"Stazzema";0;0;0;0;0;0;0;0;"Toscana";
"LUCCA";"Vagli Sotto";1;0;0;0;1;0;0;0;"Toscana";
"LUCCA";"Vergemoli";0;0;0;0;0;0;0;0;"Toscana";
"LUCCA";"Villa Collemandina";0;1;0;0;1;3;0;0;"Toscana";
