"1 - Isolato";"Provincia";"3 - D'estremità";"Comune";"2 - Interno ";"Dato non disponibile";"Regione";"4 - D'angolo";
2;"MASSA-CARRARA";3;"Aulla";3;0;"Toscana";0;
0;"MASSA-CARRARA";0;"Bagnone";0;0;"Toscana";0;
0;"MASSA-CARRARA";0;"Carrara";0;0;"Toscana";0;
259;"MASSA-CARRARA";285;"Casola in Lunigiana";203;23;"Toscana";79;
0;"MASSA-CARRARA";0;"Comano";0;0;"Toscana";0;
0;"MASSA-CARRARA";0;"Filattiera";0;0;"Toscana";0;
541;"MASSA-CARRARA";460;"Fivizzano";346;55;"Toscana";111;
5;"MASSA-CARRARA";21;"Fosdinovo";22;4;"Toscana";10;
2;"MASSA-CARRARA";3;"Licciana Nardi";3;0;"Toscana";0;
0;"MASSA-CARRARA";0;"Massa";0;0;"Toscana";0;
1;"MASSA-CARRARA";1;"Mulazzo";1;0;"Toscana";0;
0;"MASSA-CARRARA";0;"Pontremoli";0;0;"Toscana";0;
0;"MASSA-CARRARA";0;"Tresana";0;0;"Toscana";0;
0;"MASSA-CARRARA";0;"Villafranca in Lunigiana";0;0;"Toscana";0;
0;"LUCCA";0;"Bagni di Lucca";0;0;"Toscana";0;
0;"LUCCA";0;"Barga";0;0;"Toscana";0;
0;"LUCCA";0;"Borgo a Mozzano";0;0;"Toscana";0;
4;"LUCCA";4;"Camporgiano";0;0;"Toscana";2;
5;"LUCCA";4;"Careggine";3;0;"Toscana";3;
5;"LUCCA";3;"Castelnuovo di Garfagnana";1;0;"Toscana";1;
0;"LUCCA";1;"Castiglione di Garfagnana";0;0;"Toscana";0;
0;"LUCCA";0;"Coreglia Antelminelli";0;0;"Toscana";0;
0;"LUCCA";0;"Fabbriche di Vallico";0;0;"Toscana";0;
2;"LUCCA";0;"Fosciandora";1;0;"Toscana";0;
4;"LUCCA";3;"Gallicano";1;0;"Toscana";4;
49;"LUCCA";36;"Giuncugnano";19;0;"Toscana";7;
166;"LUCCA";115;"Minucciano";54;8;"Toscana";35;
0;"LUCCA";0;"Molazzana";0;0;"Toscana";0;
0;"LUCCA";0;"Pescaglia";0;0;"Toscana";0;
36;"LUCCA";21;"Piazza al Serchio";8;3;"Toscana";5;
0;"LUCCA";0;"Pieve Fosciana";0;0;"Toscana";0;
3;"LUCCA";2;"San Romano in Garfagnana";1;0;"Toscana";3;
41;"LUCCA";44;"Sillano";18;0;"Toscana";22;
0;"LUCCA";0;"Stazzema";0;0;"Toscana";0;
6;"LUCCA";2;"Vagli Sotto";1;0;"Toscana";2;
0;"LUCCA";0;"Vergemoli";0;0;"Toscana";0;
5;"LUCCA";0;"Villa Collemandina";0;0;"Toscana";0;
