"Struttura non identificata";"Provincia";"Comune";"Con telaio in acciaio";"Con pareti in cemento armato";"Dato non disponibile";"Con telaio in cemento armato";"Regione";"Strutture in muratura";
0;"MASSA-CARRARA";"Aulla";0;1;0;1;"Toscana";8;
0;"MASSA-CARRARA";"Bagnone";0;0;0;0;"Toscana";0;
0;"MASSA-CARRARA";"Carrara";0;0;0;0;"Toscana";0;
3;"MASSA-CARRARA";"Casola in Lunigiana";4;2;7;58;"Toscana";833;
0;"MASSA-CARRARA";"Comano";0;0;0;0;"Toscana";0;
0;"MASSA-CARRARA";"Filattiera";0;0;0;0;"Toscana";0;
6;"MASSA-CARRARA";"Fivizzano";4;19;3;164;"Toscana";1,482;
0;"MASSA-CARRARA";"Fosdinovo";0;0;0;0;"Toscana";62;
2;"MASSA-CARRARA";"Licciana Nardi";0;0;0;1;"Toscana";6;
0;"MASSA-CARRARA";"Massa";0;0;0;0;"Toscana";0;
0;"MASSA-CARRARA";"Mulazzo";0;0;0;2;"Toscana";3;
0;"MASSA-CARRARA";"Pontremoli";0;0;0;0;"Toscana";0;
0;"MASSA-CARRARA";"Tresana";0;0;0;0;"Toscana";0;
0;"MASSA-CARRARA";"Villafranca in Lunigiana";0;0;0;0;"Toscana";0;
0;"LUCCA";"Bagni di Lucca";0;0;0;0;"Toscana";0;
0;"LUCCA";"Barga";0;0;0;0;"Toscana";0;
0;"LUCCA";"Borgo a Mozzano";0;0;0;0;"Toscana";0;
0;"LUCCA";"Camporgiano";0;1;0;0;"Toscana";9;
0;"LUCCA";"Careggine";0;0;0;0;"Toscana";15;
1;"LUCCA";"Castelnuovo di Garfagnana";0;1;0;3;"Toscana";9;
0;"LUCCA";"Castiglione di Garfagnana";0;0;0;0;"Toscana";1;
0;"LUCCA";"Coreglia Antelminelli";0;0;0;0;"Toscana";0;
0;"LUCCA";"Fabbriche di Vallico";0;0;0;0;"Toscana";0;
0;"LUCCA";"Fosciandora";0;0;0;0;"Toscana";3;
1;"LUCCA";"Gallicano";0;0;0;1;"Toscana";12;
0;"LUCCA";"Giuncugnano";0;0;0;11;"Toscana";104;
4;"LUCCA";"Minucciano";3;2;2;29;"Toscana";368;
0;"LUCCA";"Molazzana";0;0;0;0;"Toscana";0;
0;"LUCCA";"Pescaglia";0;0;0;0;"Toscana";0;
0;"LUCCA";"Piazza al Serchio";1;2;0;5;"Toscana";73;
0;"LUCCA";"Pieve Fosciana";0;0;0;0;"Toscana";0;
0;"LUCCA";"San Romano in Garfagnana";0;0;0;3;"Toscana";9;
0;"LUCCA";"Sillano";0;0;2;0;"Toscana";123;
0;"LUCCA";"Stazzema";0;0;0;0;"Toscana";0;
0;"LUCCA";"Vagli Sotto";0;0;0;5;"Toscana";11;
0;"LUCCA";"Vergemoli";0;0;0;0;"Toscana";0;
0;"LUCCA";"Villa Collemandina";0;0;0;0;"Toscana";5;
