"Uffici";"Servizio Pubblico";"Deposito";"Provincia";"Commercio";"Comune";"Strategico";"Turistico Ricettivo";"Produttivo";"Abitativo";"Regione";
0;0;2;"MASSA-CARRARA";0;"Aulla";0;0;1;8;"Toscana";
0;0;0;"MASSA-CARRARA";0;"Bagnone";0;0;0;0;"Toscana";
0;0;0;"MASSA-CARRARA";0;"Carrara";0;0;0;0;"Toscana";
6;12;131;"MASSA-CARRARA";17;"Casola in Lunigiana";2;7;5;1,039;"Toscana";
0;0;0;"MASSA-CARRARA";0;"Comano";0;0;0;0;"Toscana";
0;0;0;"MASSA-CARRARA";0;"Filattiera";0;0;0;0;"Toscana";
23;20;298;"MASSA-CARRARA";78;"Fivizzano";14;26;14;2,300;"Toscana";
0;1;0;"MASSA-CARRARA";0;"Fosdinovo";0;0;2;85;"Toscana";
0;0;5;"MASSA-CARRARA";0;"Licciana Nardi";0;0;0;14;"Toscana";
0;0;0;"MASSA-CARRARA";0;"Massa";0;0;0;0;"Toscana";
0;0;0;"MASSA-CARRARA";0;"Mulazzo";0;0;0;0;"Toscana";
0;0;0;"MASSA-CARRARA";0;"Pontremoli";0;0;0;0;"Toscana";
0;0;0;"MASSA-CARRARA";0;"Tresana";0;0;0;0;"Toscana";
0;0;0;"MASSA-CARRARA";0;"Villafranca in Lunigiana";0;0;0;0;"Toscana";
0;0;0;"LUCCA";0;"Bagni di Lucca";0;0;0;0;"Toscana";
0;0;0;"LUCCA";0;"Barga";0;0;0;0;"Toscana";
0;0;0;"LUCCA";0;"Borgo a Mozzano";0;0;0;0;"Toscana";
2;0;0;"LUCCA";0;"Camporgiano";0;0;0;8;"Toscana";
0;0;1;"LUCCA";0;"Careggine";0;0;0;17;"Toscana";
0;3;1;"LUCCA";5;"Castelnuovo di Garfagnana";0;0;0;5;"Toscana";
0;0;0;"LUCCA";0;"Castiglione di Garfagnana";0;0;0;2;"Toscana";
0;0;0;"LUCCA";0;"Coreglia Antelminelli";0;0;0;0;"Toscana";
0;0;0;"LUCCA";0;"Fabbriche di Vallico";0;0;0;0;"Toscana";
0;0;0;"LUCCA";0;"Fosciandora";0;0;0;3;"Toscana";
2;1;0;"LUCCA";3;"Gallicano";0;0;0;12;"Toscana";
0;4;4;"LUCCA";1;"Giuncugnano";0;4;3;103;"Toscana";
9;17;30;"LUCCA";18;"Minucciano";1;10;4;443;"Toscana";
0;0;0;"LUCCA";0;"Molazzana";0;0;0;0;"Toscana";
0;0;0;"LUCCA";0;"Pescaglia";0;0;0;0;"Toscana";
0;0;1;"LUCCA";3;"Piazza al Serchio";0;0;0;105;"Toscana";
0;0;0;"LUCCA";0;"Pieve Fosciana";0;0;0;0;"Toscana";
0;3;0;"LUCCA";1;"San Romano in Garfagnana";0;0;0;6;"Toscana";
1;0;7;"LUCCA";2;"Sillano";0;0;0;139;"Toscana";
0;0;0;"LUCCA";0;"Stazzema";0;0;0;0;"Toscana";
1;0;1;"LUCCA";0;"Vagli Sotto";0;0;0;23;"Toscana";
0;0;0;"LUCCA";0;"Vergemoli";0;0;0;0;"Toscana";
0;0;4;"LUCCA";0;"Villa Collemandina";0;0;0;5;"Toscana";
