Codice,NumeroDiPiani,Proprieta,AnnoDiCostruzione,Costruzione,PercentualeUtilizzo,Uso,Posizione,CateneCordoli,Regione,Latitudine,Longitudine,Agibilita,Provincia,Comune
AULL_0033_00480,3 Piani,privato,Dal_1972_al_1981,Con_telaio_in_cemento_armato,Meno_del_30,Abitativo,2_Interno,Senza catene e cordoli,Toscana,44.1933059316626,10.033884523455,C,MASSA-CARRARA,Aulla
AULL_0033_00684,2 Piani,privato,Dal_1946_al_1961,Strutture_in_muratura,Meno_del_30,Abitativo,DiEstremita,Senza catene e cordoli,Toscana,44.1933959473148,10.0338860968606,E,MASSA-CARRARA,Aulla
AULL_0033_00257,3 Piani,privato,Dal_1982_al_1991,Strutture_in_muratura,Meno_del_30,Abitativo,1_Isolato,Senza catene e cordoli,Toscana,44.1927907086524,10.0311226256075,A,MASSA-CARRARA,Aulla
AULL_0033_00256,2 Piani,privato,Ante_1919,Strutture_in_muratura,Meno_del_30,Abitativo,DiEstremita,Senza catene e cordoli,Toscana,44.192791837574,10.0309975138157,E,MASSA-CARRARA,Aulla
AULL_0033_00261,2 Piani,privato,Ante_1919,Strutture_in_muratura,Oltre_65,Abitativo,1_Isolato,Senza catene e cordoli,Toscana,44.1926095481191,10.0312445986866,E,MASSA-CARRARA,Aulla
CASO_0022_00597,3 Piani,privato,Dal_1982_al_1991,Strutture_in_muratura,Oltre_65,Abitativo,DiEstremita,Con catene e cordoli,Toscana,44.1931853003054,10.1501302564668,A,MASSA-CARRARA,Casola in Lunigiana
CASO_0029_00047,2 Piani,privato,Dal_1982_al_1991,Strutture_in_muratura,Oltre_65,Abitativo,1_Isolato,Con catene e cordoli,Toscana,44.1903086871578,10.1496989450742,A,MASSA-CARRARA,Casola in Lunigiana
CASO_0022_00064,2 Piani,privato,Dal_1946_al_1961,Con_telaio_in_cemento_armato,Meno_del_30,Abitativo,2_Interno,Con catene e cordoli,Toscana,44.2030740253982,10.151574128667,A,MASSA-CARRARA,Casola in Lunigiana
CASO_0029_00040,2 Piani,privato,Dal_1946_al_1961,Strutture_in_muratura,Meno_del_30,Abitativo,DiEstremita,Senza catene e cordoli,Toscana,44.1904037334722,10.1492002873507,E,MASSA-CARRARA,Casola in Lunigiana
CASO_0029_00067,3 Piani,privato,Dal_1972_al_1981,Strutture_in_muratura,Oltre_65,Abitativo,DiEstremita,Senza catene e cordoli,Toscana,44.1902199336493,10.1495720941574,E,MASSA-CARRARA,Casola in Lunigiana
CASO_0022_00063,2 Piani,privato,Dal_1962_al_1971,Strutture_in_muratura,Meno_del_30,Abitativo,1_Isolato,Con catene e cordoli,Toscana,44.2028977842173,10.1511952379193,A,MASSA-CARRARA,Casola in Lunigiana
CASO_0029_133+,4 Piani,privato,Dal_1982_al_1991,Strutture_in_muratura,Meno_del_30,Abitativo,1_Isolato,Senza catene e cordoli,Toscana,44.190116068011,10.1509464578819,A,MASSA-CARRARA,Casola in Lunigiana
CASO_0024_00480,4 Piani,privato,Dal_1946_al_1961,Strutture_in_muratura,Meno_del_30,Abitativo,2_Interno,Senza catene e cordoli,Toscana,44.1995053817301,10.1749068418491,A,MASSA-CARRARA,Casola in Lunigiana
CASO_0024_00496,4 Piani,privato,Dal_1946_al_1961,Strutture_in_muratura,Oltre_65,Abitativo,2_Interno,Con catene e cordoli,Toscana,44.1993266457029,10.1747781454132,A,MASSA-CARRARA,Casola in Lunigiana
CASO_0029_544+,4 Piani,privato,Ante_1919,Strutture_in_muratura,Oltre_65,Abitativo,1_Isolato,Con catene e cordoli,Toscana,44.1821482828761,10.155420483958,A,MASSA-CARRARA,Casola in Lunigiana
CASO_0029_30+,4 Piani,privato,Dal_1919_al_1945,Strutture_in_muratura,Oltre_65,Abitativo,DiEstremita,Con catene e cordoli,Toscana,44.1907524525058,10.1503332053684,A,MASSA-CARRARA,Casola in Lunigiana
CASO_0022_00159,3 Piani,privato,Dal_1982_al_1991,Strutture_in_muratura,Oltre_65,Abitativo,2_Interno,Senza catene e cordoli,Toscana,44.2016628020851,10.1486681912065,B,MASSA-CARRARA,Casola in Lunigiana
CASO_0015_00425,2 Piani,privato,Dal_1972_al_1981,Con_telaio_in_cemento_armato,Tra_30_e_65,Abitativo,DiAngolo,Senza catene e cordoli,Toscana,44.2109298935213,10.1845216314947,C,MASSA-CARRARA,Casola in Lunigiana
CASO_0018_00130,3 Piani,privato,Ante_1919,Strutture_in_muratura,Meno_del_30,Abitativo,1_Isolato,Con catene e cordoli,Toscana,44.2240804661232,10.2096995690215,E,MASSA-CARRARA,Casola in Lunigiana
CASO_0029_00534,3 Piani,privato,Dal_1982_al_1991,Strutture_in_muratura,Oltre_65,Abitativo,DiEstremita,Senza catene e cordoli,Toscana,44.1825983437338,10.1554292726268,E,MASSA-CARRARA,Casola in Lunigiana
CASO_0027_00482,3 Piani,privato,Ante_1919,Con_telaio_in_cemento_armato,Meno_del_30,Abitativo,1_Isolato,Con catene e cordoli,Toscana,44.1925352053979,10.1872814496357,A,MASSA-CARRARA,Casola in Lunigiana
CASO_0027_00297,3 Piani,privato,Dal_1982_al_1991,Con_telaio_in_cemento_armato,Meno_del_30,Abitativo,1_Isolato,Con catene e cordoli,Toscana,44.1907076569182,10.1898724299752,A,MASSA-CARRARA,Casola in Lunigiana
