Codice Regione;Codice Città Metropolitana;Codice Provincia (1);Progressivo del Comune (2);Codice Comune formato alfanumerico;Denominazione in italiano;Denominazione in tedesco;Codice Ripartizione Geografica;Ripartizione geografica;Denominazione regione;Denominazione Città metropolitana;Denominazione provincia;Flag Comune capoluogo di provincia;Sigla automobilistica;Codice Comune formato numerico;Codice Comune numerico con 107 province (dal 2006 al 2009);Codice Comune numerico con 103 province (dal 1995 al 2005);Codice Catastale del comune;Popolazione legale 2011 (09/10/2011);Codice NUTS1 2010;Codice NUTS2 2010 (3) ;Codice NUTS3 2010;Codice NUTS1 2006;Codice NUTS2 2006 (3);Codice NUTS3 2006
1;201;1;1;1001;Agliè;;1;Nord-ovest;Piemonte;Torino;-;0;TO;1001;1001;1001;A074;2.644;ITC;ITC1;ITC11;ITC;ITC1;ITC11
1;201;1;2;1002;Airasca;;1;Nord-ovest;Piemonte;Torino;-;0;TO;1002;1002;1002;A109;3.819;ITC;ITC1;ITC11;ITC;ITC1;ITC11
1;201;1;3;1003;Ala di Stura;;1;Nord-ovest;Piemonte;Torino;-;0;TO;1003;1003;1003;A117;462;ITC;ITC1;ITC11;ITC;ITC1;ITC11
1;201;1;4;1004;Albiano d'Ivrea;;1;Nord-ovest;Piemonte;Torino;-;0;TO;1004;1004;1004;A157;1.791;ITC;ITC1;ITC11;ITC;ITC1;ITC11
1;201;1;5;1005;Alice Superiore;;1;Nord-ovest;Piemonte;Torino;-;0;TO;1005;1005;1005;A199;701;ITC;ITC1;ITC11;ITC;ITC1;ITC11
1;201;1;6;1006;Almese;;1;Nord-ovest;Piemonte;Torino;-;0;TO;1006;1006;1006;A218;6.303;ITC;ITC1;ITC11;ITC;ITC1;ITC11
1;201;1;7;1007;Alpette;;1;Nord-ovest;Piemonte;Torino;-;0;TO;1007;1007;1007;A221;277;ITC;ITC1;ITC11;ITC;ITC1;ITC11
1;201;1;8;1008;Alpignano;;1;Nord-ovest;Piemonte;Torino;-;0;TO;1008;1008;1008;A222;16.893;ITC;ITC1;ITC11;ITC;ITC1;ITC11
1;201;1;9;1009;Andezeno;;1;Nord-ovest;Piemonte;Torino;-;0;TO;1009;1009;1009;A275;1.966;ITC;ITC1;ITC11;ITC;ITC1;ITC11
1;201;1;10;1010;Andrate;;1;Nord-ovest;Piemonte;Torino;-;0;TO;1010;1010;1010;A282;512;ITC;ITC1;ITC11;ITC;ITC1;ITC11
1;201;1;11;1011;Angrogna;;1;Nord-ovest;Piemonte;Torino;-;0;TO;1011;1011;1011;A295;870;ITC;ITC1;ITC11;ITC;ITC1;ITC11
1;201;1;12;1012;Arignano;;1;Nord-ovest;Piemonte;Torino;-;0;TO;1012;1012;1012;A405;1.039;ITC;ITC1;ITC11;ITC;ITC1;ITC11
1;201;1;13;1013;Avigliana;;1;Nord-ovest;Piemonte;Torino;-;0;TO;1013;1013;1013;A518;12.129;ITC;ITC1;ITC11;ITC;ITC1;ITC11
1;201;1;14;1014;Azeglio;;1;Nord-ovest;Piemonte;Torino;-;0;TO;1014;1014;1014;A525;1.347;ITC;ITC1;ITC11;ITC;ITC1;ITC11
1;201;1;15;1015;Bairo;;1;Nord-ovest;Piemonte;Torino;-;0;TO;1015;1015;1015;A584;816;ITC;ITC1;ITC11;ITC;ITC1;ITC11
